sample_id,problem_id,label,span_primary_m,span_secondary_m,y,y_p,penalty_ratio,feasible_constraints,computation_successful,max_constraint_value,n_violated_constraints,violated_constraints,analysis_error,slab_depth_mm,reinforcement_spacing_lay_1_mm,reinforcement_spacing_lay_2_mm,reinforcement_spacing_lay_3_mm,reinforcement_layer_active_2_,reinforcement_layer_active_3_,reinforcement_diameter_mm,concrete_grade_MPa,beam_depth_mm,beam_reinforcement_diameter_mm,beam_reinforcement_spacing_lay_1_mm,beam_reinforcement_spacing_lay_2_mm,beam_reinforcement_layer_active_2_
637,4,h_var_10m,10.0,8.0,1000000000000.0,1000000000000.0,1.0,False,False,100.0,25,w_allowed_tinf_|w_allowed_inc_|bending_capacity_|shear_VRd_max_|min_slab_depth_fire_|min_reinforcement_crack_|min_reinforcement_ductility_|max_reinforcement|max_reinforcement_spacing_lay_1|max_reinforcement_spacing_lay_2|max_reinforcement_spacing_lay_3|min_reinforcement_spacing_lay_1|min_reinforcement_spacing_lay_2|min_reinforcement_spacing_lay_3|reinforcement_outside_cross_section|vibration_f_min_Hz|beam_bending_capacity_|beam_shear_VRd_max_|beam_min_width_fire_|beam_min_reinforcement_crack_|beam_min_reinforcement_duct_|beam_max_reinforcement_|beam_min_spacing_lay_1_|beam_min_spacing_lay_2_|beam_deflection_tinf_,"Beam analysis failed: Beam M-χ failed: Maximum number of iterations reached.
Last iteration reached a unbalance of:                 dn_a = -183002.80783087207 dn_b = 0.0)",360.0,43.5,58.8,166.7,1.0,0.0,32.0,45.0,300.0,14.0,120.0,26.67,0.0
638,4,h_var_10m,10.0,8.0,148.16718654497407,92345.26709606337,623.2504594938317,False,True,4.294813449648255,6,w_allowed_tinf_|w_allowed_inc_|max_reinforcement_spacing_lay_3|reinforcement_outside_cross_section|vibration_f_min_Hz|beam_bending_capacity_,,180.0,62.5,142.9,250.0,0.0,1.0,24.0,60.0,500.0,14.0,34.29,48.0,0.0
639,4,h_var_10m,10.0,8.0,99.72210606083924,552780.1215092972,5543.205447065596,False,True,8.058465234373358,7,w_allowed_tinf_|w_allowed_inc_|bending_capacity_|reinforcement_outside_cross_section|vibration_f_min_Hz|beam_min_spacing_lay_1_|beam_min_spacing_lay_2_,,120.0,52.6,40.0,38.5,0.0,1.0,14.0,25.0,600.0,16.0,26.67,24.0,1.0
640,4,h_var_10m,10.0,8.0,290.72879820315416,7445.290877909186,25.60905876516092,False,True,2.2338086084834137,6,w_allowed_inc_|min_reinforcement_spacing_lay_1|vibration_f_min_Hz|beam_bending_capacity_|beam_min_spacing_lay_1_|beam_deflection_tinf_,,330.0,45.5,55.6,50.0,0.0,1.0,24.0,80.0,450.0,32.0,60.0,40.0,0.0
641,4,h_var_10m,10.0,8.0,83.35192720161048,88634.95118907056,1063.38214561832,False,True,4.383715394391837,7,w_allowed_tinf_|w_allowed_inc_|bending_capacity_|vibration_f_min_Hz|beam_bending_capacity_|beam_min_spacing_lay_1_|beam_deflection_tinf_,,250.0,76.9,58.8,90.9,1.0,0.0,12.0,16.0,450.0,20.0,26.67,48.0,0.0
642,4,h_var_10m,10.0,8.0,210.18236836946005,63400.937289580535,301.64726842421874,False,True,3.1674592152551515,8,w_allowed_tinf_|w_allowed_inc_|max_reinforcement|max_reinforcement_spacing_lay_1|min_reinforcement_spacing_lay_3|reinforcement_outside_cross_section|vibration_f_min_Hz|beam_bending_capacity_,,160.0,166.7,142.9,37.0,1.0,1.0,24.0,50.0,550.0,20.0,60.0,60.0,0.0
643,4,h_var_10m,10.0,8.0,190.5125123008274,45844.46458917165,240.6375520195822,False,True,2.6133333333333337,7,w_allowed_inc_|vibration_f_min_Hz|beam_bending_capacity_|beam_max_reinforcement_|beam_min_spacing_lay_1_|beam_min_spacing_lay_2_|beam_deflection_tinf_,,350.0,34.5,90.9,33.3,1.0,1.0,10.0,50.0,400.0,28.0,21.82,30.0,1.0
644,4,h_var_10m,10.0,8.0,1000000000000.0,1000000000000.0,1.0,False,False,100.0,25,w_allowed_tinf_|w_allowed_inc_|bending_capacity_|shear_VRd_max_|min_slab_depth_fire_|min_reinforcement_crack_|min_reinforcement_ductility_|max_reinforcement|max_reinforcement_spacing_lay_1|max_reinforcement_spacing_lay_2|max_reinforcement_spacing_lay_3|min_reinforcement_spacing_lay_1|min_reinforcement_spacing_lay_2|min_reinforcement_spacing_lay_3|reinforcement_outside_cross_section|vibration_f_min_Hz|beam_bending_capacity_|beam_shear_VRd_max_|beam_min_width_fire_|beam_min_reinforcement_crack_|beam_min_reinforcement_duct_|beam_max_reinforcement_|beam_min_spacing_lay_1_|beam_min_spacing_lay_2_|beam_deflection_tinf_,"Beam analysis failed: Beam deflection integration failed: [deflection_integration] Moment value=398160000.00000006 is outside of the moment–curvature range of the cross-section [569203.1977888688, 381489774.15843415]",390.0,250.0,43.5,62.5,0.0,1.0,20.0,16.0,600.0,20.0,60.0,20.0,0.0
645,4,h_var_10m,10.0,8.0,113.10204001547045,23006.31290485337,203.41200655360853,False,True,2.6876877552511624,5,w_allowed_tinf_|w_allowed_inc_|bending_capacity_|vibration_f_min_Hz|beam_min_spacing_lay_1_,,190.0,76.9,83.3,34.5,0.0,1.0,10.0,70.0,500.0,20.0,26.67,60.0,1.0
646,4,h_var_10m,10.0,8.0,1000000000000.0,1000000000000.0,1.0,False,False,100.0,25,w_allowed_tinf_|w_allowed_inc_|bending_capacity_|shear_VRd_max_|min_slab_depth_fire_|min_reinforcement_crack_|min_reinforcement_ductility_|max_reinforcement|max_reinforcement_spacing_lay_1|max_reinforcement_spacing_lay_2|max_reinforcement_spacing_lay_3|min_reinforcement_spacing_lay_1|min_reinforcement_spacing_lay_2|min_reinforcement_spacing_lay_3|reinforcement_outside_cross_section|vibration_f_min_Hz|beam_bending_capacity_|beam_shear_VRd_max_|beam_min_width_fire_|beam_min_reinforcement_crack_|beam_min_reinforcement_duct_|beam_max_reinforcement_|beam_min_spacing_lay_1_|beam_min_spacing_lay_2_|beam_deflection_tinf_,"Beam analysis failed: Beam deflection integration failed: [deflection_integration] Moment value=233310000.0 is outside of the moment–curvature range of the cross-section [91691.79729735863, 223894872.67777896]",320.0,90.9,38.5,37.0,1.0,0.0,24.0,80.0,250.0,24.0,48.0,24.0,0.0
