scope;problem_id;algorithm;run;evaluations_nmr;fitness_value;feasible;max_violation;feasible_count;run_eval_count;feasible_rate;best_feasible_eval;best_feasible_value;function_name
BM2_run_best | BM2+3Mix_run_best;4;NLopt_DIRECT;2;251;428.389;FALSE;0.200694464;0;1000;0;NA;NA;solid_slab_one_way_concrete_problem_4
BM2_run_best | BM2+3Mix_run_best;4;NLopt_DIRECT;3;251;428.389;FALSE;0.200694464;0;1000;0;NA;NA;solid_slab_one_way_concrete_problem_4
BM2_run_best | BM2+3Mix_run_best | BM3_best_run | BM4b_best_value;4;NLopt_SBPLX;1;121;261.197;FALSE;0.090971929;0;1000;0;NA;NA;solid_slab_one_way_concrete_problem_4
BM2_run_best | BM2+3Mix_run_best;4;NLopt_SBPLX;2;121;261.197;FALSE;0.090971929;0;1000;0;NA;NA;solid_slab_one_way_concrete_problem_4
BM2_run_best | BM2+3Mix_run_best;4;NLopt_SBPLX;3;121;261.197;FALSE;0.090971929;0;1000;0;NA;NA;solid_slab_one_way_concrete_problem_4
BM2_run_best | BM2+3Mix_run_best;4;Pymoo_CMAES;1;697;166.252;TRUE;0;1;1000;0.1%;697;166.252;solid_slab_one_way_concrete_problem_4
BM2_run_best | BM2+3Mix_run_best;4;Pymoo_CMAES;2;948;160.917;TRUE;0;13;1000;1.3%;948;160.917;solid_slab_one_way_concrete_problem_4
BM2_run_best | BM2+3Mix_run_best | BM3_best_run | BM4b_best_value;4;Pymoo_CMAES;3;945;151.955;FALSE;0.009500126;10;1000;1.0%;932;165.190;solid_slab_one_way_concrete_problem_4
BM2_run_best | BM2+3Mix_run_best;4;Pymoo_GA;1;961;140.2748235;TRUE;0;29;1000;2.9%;961;140.2748235;solid_slab_one_way_concrete_problem_4
BM2_run_best | BM2+3Mix_run_best | BM3_best_run | BM4b_best_value;4;Pymoo_GA;2;980;139.8130645;TRUE;0;260;1000;26.0%;980;139.8130645;solid_slab_one_way_concrete_problem_4
BM2_run_best | BM2+3Mix_run_best;4;Pymoo_GA;3;999;143.9437254;FALSE;0.002730932;232;1000;23.2%;860;149.128515;solid_slab_one_way_concrete_problem_4
BM2_run_best | BM2+3Mix_run_best;4;RBFOpt;1;585;148.0489443;TRUE;0;106;1000;0.106;585;148.0489443;solid_slab_one_way_concrete_problem_4
BM2_run_best | BM2+3Mix_run_best | BM3_best_run | BM4b_best_value;4;RBFOpt;2;821;144.5226446;TRUE;0;309;1000;0.309;821;144.5226446;solid_slab_one_way_concrete_problem_4
BM2_run_best | BM2+3Mix_run_best;4;RBFOpt;3;376;150.6439851;TRUE;0;105;999;0.105105105;376;150.6439851;solid_slab_one_way_concrete_problem_4
