evaluations raw_y y y_p misses hits c__w_allowed_tinf_ c__w_allowed_inc_ c__bending_capacity_ c__shear_VRd_max_ c__min_slab_depth_fire_ c__min_reinforcement_crack_ c__min_reinforcement_ductility_ c__max_reinforcement c__max_reinforcement_spacing_lay_1 c__max_reinforcement_spacing_lay_2 c__max_reinforcement_spacing_lay_3 c__min_reinforcement_spacing_lay_1 c__min_reinforcement_spacing_lay_2 c__min_reinforcement_spacing_lay_3 c__reinforcement_outside_cross_section c__beam_bending_capacity_ c__beam_shear_VRd_max_ c__beam_min_width_fire_ c__beam_min_reinforcement_crack_ c__beam_min_reinforcement_duct_ c__beam_max_reinforcement_ c__beam_min_spacing_lay_1_ c__beam_min_spacing_lay_2_ c__beam_deflection_tinf_ var__slab_depth_mm var__reinforcement_spacing_lay_1_mm var__reinforcement_spacing_lay_2_mm var__reinforcement_spacing_lay_3_mm var__reinforcement_layer_active_2_ var__reinforcement_layer_active_3_ var__reinforcement_diameter_mm var__concrete_grade_MPa var__beam_depth_mm var__beam_reinforcement_diameter_mm var__beam_reinforcement_spacing_lay_1_mm var__beam_reinforcement_spacing_lay_2_mm var__beam_reinforcement_layer_active_2_
11 1000000000000.0000000000 1000000000000.0000000000 1000000000000.0000000000 11.0000000000 264.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 330.0000000000 76.9000000000 66.7000000000 50.0000000000 0.0000000000 1.0000000000 10.0000000000 30.0000000000 200.0000000000 28.0000000000 24.0000000000 40.0000000000 0.0000000000
12 1000000000000.0000000000 1000000000000.0000000000 1000000000000.0000000000 12.0000000000 288.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 360.0000000000 55.6000000000 166.7000000000 83.3000000000 0.0000000000 0.0000000000 12.0000000000 45.0000000000 550.0000000000 28.0000000000 20.0000000000 26.6700000000 0.0000000000
13 2390.7112488266 207.4707392281 2390.7112488266 13.0000000000 312.0000000000 0.0000000000 0.4185221638 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.1430676247 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.4933333333 0.0000000000 0.2037675428 320.0000000000 90.9000000000 38.5000000000 200.0000000000 0.0000000000 1.0000000000 28.0000000000 50.0000000000 400.0000000000 16.0000000000 21.8200000000 30.0000000000 0.0000000000
14 1000000000000.0000000000 1000000000000.0000000000 1000000000000.0000000000 14.0000000000 336.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 340.0000000000 45.5000000000 142.9000000000 71.4000000000 1.0000000000 0.0000000000 24.0000000000 35.0000000000 200.0000000000 12.0000000000 26.6700000000 26.6700000000 1.0000000000
15 490.3357466608 130.7134777906 490.3357466608 15.0000000000 360.0000000000 0.0000000000 0.4871188249 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0666666667 0.0000000000 220.0000000000 125.0000000000 34.5000000000 125.0000000000 1.0000000000 0.0000000000 12.0000000000 60.0000000000 450.0000000000 16.0000000000 60.0000000000 30.0000000000 1.0000000000
16 43962.2710318743 159.6201494195 43962.2710318743 16.0000000000 384.0000000000 0.2047638244 2.1940726933 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.1111111111 0.0000000000 0.0000000000 0.0000000000 0.2533333333 0.4866388964 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.3513050414 0.1200000000 0.6800000000 1.1050259281 150.0000000000 76.9000000000 83.3000000000 166.7000000000 0.0000000000 1.0000000000 24.0000000000 40.0000000000 300.0000000000 28.0000000000 48.0000000000 34.2900000000 1.0000000000
17 1000000000000.0000000000 1000000000000.0000000000 1000000000000.0000000000 17.0000000000 408.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 100.0000000000 200.0000000000 50.0000000000 47.6000000000 76.9000000000 1.0000000000 0.0000000000 16.0000000000 20.0000000000 350.0000000000 12.0000000000 60.0000000000 34.2900000000 0.0000000000
18 39501.9057369639 258.2428033172 39501.9057369639 18.0000000000 432.0000000000 0.0000000000 2.2699571726 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0749372147 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.5120000000 0.0000000000 0.0000000000 0.6655460676 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0666666667 0.0000000000 0.7589570156 260.0000000000 142.9000000000 37.0000000000 125.0000000000 1.0000000000 0.0000000000 28.0000000000 35.0000000000 350.0000000000 20.0000000000 40.0000000000 120.0000000000 1.0000000000
19 3574.4332580774 190.9378323647 3574.4332580774 19.0000000000 456.0000000000 0.0000000000 1.3219145306 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.3333333333 0.0000000000 0.0000000000 230.0000000000 34.5000000000 62.5000000000 47.6000000000 1.0000000000 1.0000000000 14.0000000000 55.0000000000 600.0000000000 20.0000000000 30.0000000000 60.0000000000 1.0000000000
20 2568.0234932350 180.9200605009 2568.0234932350 20.0000000000 480.0000000000 0.0000000000 1.3652376734 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0560000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 200.0000000000 45.5000000000 52.6000000000 66.7000000000 0.0000000000 0.0000000000 24.0000000000 80.0000000000 500.0000000000 32.0000000000 120.0000000000 80.0000000000 0.0000000000
